player_name,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate
A. Rüdiger,3148,14748,5942.7,0,0,0,0,0,0,0,0,2,0,0,0,83,79,0.95,0,2,5,0.2,3,1,0,0,0
홍철,14855,107413,787.5,0,0,0,0,0,0,0,0,2,0,0,0,6,5,0.83,0,1,6,0.33,0,2,0,0,0
황희찬,29710,699374,11585.4,0,0,0,2,1,0,1,1,5,0,1,0,31,19,1.22,1,8,38,1.42,2,27,0,0,0
장현수,29710,277266,11585.4,0,0,0,0,0,0,0,0,6,0,0,0,77,68,1.77,0,10,12,0.9400000000000001,3,5,0,0,0
조현우,29710,512086,11585.4,0,0,0,0,0,0,0,0,0,0,0,0,31,26,1.67,0,1,0,0.0,2,0,8,5,0
J. Boateng,6296,29432,11593.9,0,0,0,3,1,0,3,0,5,0,1,0,180,161,1.79,5,9,24,1.29,5,16,0,0,0
J. 브란트,6296,293166,1145.8000000000002,0,0,0,2,0,1,1,0,0,0,0,0,11,10,1.8,1,0,5,1.5,0,3,0,0,0
J. Draxler,6296,29724,8466.7,0,0,0,6,1,5,1,0,4,0,0,0,77,70,1.81,2,1,16,1.8,0,13,0,0,0
J. 헥터,3148,18669,5275.5,0,0,0,2,1,0,2,0,1,1,0,0,43,39,0.91,0,3,5,0.8,2,4,0,0,0
J. 키미히,6296,449186,11593.9,0,0,0,2,0,1,1,0,1,0,0,0,156,132,1.69,3,5,31,1.6,1,25,0,0,0
구자철,14855,15781,4446.2,0,0,0,1,0,0,0,1,1,0,0,0,15,14,0.93,0,4,8,0.62,1,5,0,0,0
이재성,29710,598242,11585.4,0,0,0,4,1,0,4,0,2,0,0,0,74,62,1.68,0,10,29,1.23,1,18,0,0,0
Joo-Ho Park,14855,49862,1680.0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,0.43,0,0,4,0.75,0,3,0,0,0
Lee Seung-Woo,29710,807092,3316.5,0,0,0,1,0,0,1,0,2,0,1,0,26,18,1.38,0,1,11,1.17,0,7,0,0,0
M. 고메스,6296,29462,4015.7999999999997,0,0,0,3,2,1,0,2,0,1,0,0,6,4,1.5,0,0,0,0.0,0,0,0,0,0
M. 훔멜스,3148,14795,5651.2,0,0,0,1,1,0,1,0,3,0,1,0,35,33,0.94,0,7,8,0.5,3,4,0,0,0
M. 노이어,6296,29424,11593.9,0,0,0,0,0,0,0,0,0,0,0,0,49,44,1.81,0,5,0,0.0,1,0,9,7,0
M. Plattenhardt,3148,15125,4762.6,0,0,0,1,1,0,1,0,0,0,0,0,24,24,1.0,0,0,3,0.67,1,2,0,0,0
M. 로이스,6296,30048,7991.299999999999,1,0,0,3,1,2,1,0,1,0,0,0,74,60,1.6600000000000001,2,6,12,1.23,0,7,0,0,0
M. 외질,3148,3319,5651.2,0,0,0,1,0,0,1,0,0,0,0,0,76,67,0.88,1,1,9,0.56,0,5,0,0,0
Min-Woo Kim,29710,190598,9117.9,0,0,0,1,0,1,0,0,3,0,0,0,48,34,1.4100000000000001,0,4,10,0.86,5,6,0,0,0
S. 케디라,3148,3318,3602.6,0,0,0,1,0,1,0,0,0,0,0,0,50,41,0.82,0,1,14,0.71,0,10,0,0,0
S. Rudy,3148,15811,1860.0,0,0,0,1,0,1,0,0,1,0,0,0,17,17,1.0,0,1,2,0.0,0,0,0,0,0
주세종,14855,209567,3822.7,0,0,0,0,0,0,0,0,2,0,0,0,32,24,0.75,0,2,5,0.4,0,2,0,0,0
문선민,14855,51625,4602.7,0,0,0,2,0,1,1,0,1,0,0,0,21,14,0.67,0,2,15,0.67,0,10,0,0,0
Shin-Wook Kim,14855,107548,4026.2,0,0,0,0,0,0,0,0,3,0,1,0,8,6,0.75,0,1,1,1.0,0,1,0,0,0
손흥민,29710,29822,11585.4,1,0,0,8,2,4,4,0,1,0,0,0,54,47,1.7200000000000002,0,9,40,1.55,2,31,0,0,0
Sung-Yeung Ki,29710,123924,11585.4,0,0,0,3,2,2,0,1,5,0,0,0,79,71,1.7999999999999998,1,13,28,0.98,4,15,0,0,0
T. 크로스,6296,29446,11593.9,1,0,0,10,4,7,3,0,1,0,0,0,201,188,1.88,2,4,20,1.33,0,13,0,0,0
T. 뮐러,6296,29464,11593.9,0,0,0,1,0,0,0,1,2,1,1,0,93,66,1.42,1,9,22,1.33,0,13,0,0,0
T. 베르너,6296,346428,11115.3,0,0,0,4,1,3,1,0,1,3,0,0,46,36,1.6099999999999999,0,6,14,1.58,1,11,0,0,0
정우영,29710,190980,2956.5,0,0,0,0,0,0,0,0,3,0,1,0,29,28,1.95,0,1,9,0.9,0,4,0,0,0
이용,29710,215058,11585.4,0,0,0,0,0,0,0,0,5,0,1,0,73,53,1.45,0,4,26,1.12,2,14,0,0,0
김영권,29710,190400,11585.4,0,0,0,0,0,0,0,0,4,0,1,0,72,62,1.73,0,6,11,1.5,3,6,0,0,0
İ. Gündoğan,3148,14808,4082.7,0,0,0,1,1,1,0,0,0,0,0,0,51,47,0.92,0,0,6,0.67,1,4,0,0,0
